,date,time,comp,round,day,venue,result,gf,ga,opponent,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,xg_x,npxg,npxg/sh,g-xg,np:g-xg,match report_x,date_opp,time_opp,comp_opp,round_opp,day_opp,venue_opp,result_opp,gf_opp,ga_opp,opponent_opp,gls_opp,sh_opp,sot_opp,sot%_opp,g/sh_opp,g/sot_opp,dist_opp,fk_opp,pk_opp,pkatt_opp,xg_opp,npxg_opp,npxg/sh_opp,g-xg_opp,np:g-xg_opp,match report_opp,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,thr,launch%,avglen,opp,stp,stp%,#opa,avgdist,sota_opp,saves_opp,save%_opp,cs_opp,psxg_opp,psxg+/-_opp,pka_opp,pksv_opp,pkm_opp,cmp_opp,att_opp,cmp%_opp,thr_opp,launch%_opp,avglen_opp,opp_opp,stp_opp,stp%_opp,#opa_opp,avgdist_opp,totdist,prgdist,ast,xag,xa,kp,1-Mar,ppa,crspa,prgp,totdist_opp,prgdist_opp,ast_opp,xag_opp,xa_opp,kp_opp,1/3_opp,ppa_opp,crspa_opp,prgp_opp,live,dead,tb,sw,crs,ti,ck,in,out,str,off,blocks,live_opp,dead_opp,tb_opp,sw_opp,crs_opp,ti_opp,ck_opp,in_opp,out_opp,str_opp,off_opp,blocks_opp,sca,passlive,passdead,to,fld,def,gca,sca_opp,passlive_opp,passdead_opp,to_opp,fld_opp,def_opp,gca_opp,tkl,tklw,def 3rd,mid 3rd,att 3rd,tkl%,lost,pass,int,tkl+int,clr,err,tkl_opp,tklw_opp,def 3rd_opp,mid 3rd_opp,att 3rd_opp,tkl%_opp,lost_opp,pass_opp,int_opp,tkl+int_opp,clr_opp,err_opp,poss_x,touches,def pen,att pen,succ,succ%,tkld,tkld%,carries,prgc,cpa,mis,dis,rec,prgr,poss_opp,touches_opp,def pen_opp,att pen_opp,succ_opp,succ%_opp,tkld_opp,tkld%_opp,carries_opp,prgc_opp,cpa_opp,mis_opp,dis_opp,rec_opp,prgr_opp,crdy,crdr,2crdy,fls,pkwon,pkcon,og,recov,won,won%,crdy_opp,crdr_opp,2crdy_opp,fls_opp,pkwon_opp,pkcon_opp,og_opp,recov_opp,won_opp,won%_opp,xg_y,xga,poss_y,attendance,captain,formation,referee,match report_y,notes,team,season,xg
0,14/09/2020,20:15,Premier League,Matchweek 1,Mon,Away,W,3,1,Brighton,3,9,4,44.4,0.22,0.5,21.3,0,1,1,1.2,0.4,0.05,1.8,1.6,Match Report,14/09/2020,20:15,Premier League,Matchweek 1,Mon,Home,L,1,3,Brighton,1,13,3,23.1,0.08,0.33,17.6,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report,3,2,66.7,0,0.7,-0.3,0,0,0,5,16,31.3,4,42.1,37.7,9,0,0,0,3.5,5,2,60,0,1.7,-1.3,1,0,0,3,7,42.9,7,15.2,23.3,5,0,0,0,,7619,2604,2,0.4,0.5,9,35,10,2,30,8314,2595,1,1,0.9,10,30,7,3,36,461,42,1,10,13,21,3,1,2,0,3,7,504,48,1,12,14,24,4,3,0,0,0,7,18,15,1,0,1,0,5,24,20,2,1,0,0,2,16,9,10,6,0,50,8,8,25,41,15,1,17,11,3,9,5,58.3,5,5,15,32,10,0,48,614,60,18,5,41.7,7,58.3,306,15,3,14,10,413,30,52,648,66,14,8,50,8,50,364,16,4,9,8,440,36,0,0,0,13,1,0,0,52,13,56.5,1,0,0,8,0,1,0,54,10,43.5,1.2,1.1,48,,Jorginho,4-2-2-2,Craig Pawson,Match Report,,Chelsea,2020-2021,
1,20/09/2020,16:30,Premier League,Matchweek 2,Sun,Home,L,0,2,Liverpool,0,4,2,50,0,0,22.7,0,0,1,0.9,0.1,0.03,-0.9,-0.1,Match Report,20/09/2020,16:30,Premier League,Matchweek 2,Sun,Away,W,2,0,Liverpool,2,18,5,27.8,0.11,0.4,18.2,1,0,0,2.1,2.1,0.12,-0.1,-0.1,Match Report,5,3,60,0,1.5,-0.5,0,0,0,6,11,54.5,9,22.5,26.4,19,2,10.5,0,7.5,3,2,100,1,1.3,1.3,0,1,0,2,2,100,5,9.1,21.9,3,0,0,1,21,7438,2261,0,0.1,0.2,2,14,4,2,19,11391,3233,1,0.8,1.5,12,54,15,1,73,481,30,1,5,4,10,1,0,0,0,1,9,769,46,1,6,24,22,11,2,4,0,1,10,10,8,0,1,1,0,0,31,23,2,1,2,1,3,17,9,12,5,0,33.3,12,9,11,28,35,1,14,7,2,6,6,38.5,16,9,8,22,3,0,39,637,138,12,16,61.5,10,38.5,320,13,5,16,4,426,19,61,900,29,38,12,66.7,6,33.3,666,17,3,10,11,708,73,0,1,0,10,1,0,0,46,11,78.6,0,0,0,6,0,1,0,53,3,21.4,0.9,2.1,39,,Jorginho,4/03/2003,Paul Tierney,Match Report,,Chelsea,2020-2021,
2,23/09/2020,19:45,EFL Cup,Third round,Wed,Home,W,6,0,Barnsley,6,17,11,64.7,0.35,0.55,,,0,0,,,,,,Match Report,23/09/2020,19:45,EFL Cup,Third round,Wed,Away,L,0,6,Barnsley,0,14,9,64.3,0,0,,,0,0,,,,,,Match Report,9,9,100,1,,,0,0,0,,,,,,,,,,,,11,5,45.5,0,,,0,0,0,,,,,,,,,,,,,,4,,,,,,,,,,0,,,,,,,,,,,,16,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,9,0,,,,12,,,,,,,9,0,,,69,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,0,0,0,3,,,0,,,,1,0,0,8,,,0,,,,,,69,,César Azpilicueta,4-2-3-1,Darren Bond,Match Report,,Chelsea,2020-2021,
3,26/09/2020,17:30,Premier League,Matchweek 3,Sat,Away,D,3,3,West Brom,3,22,10,45.5,0.14,0.3,19.4,1,0,0,2,2,0.09,1,1,Match Report,26/09/2020,17:30,Premier League,Matchweek 3,Sat,Home,D,3,3,West Brom,3,9,3,33.3,0.33,1,20.7,0,0,0,0.6,0.6,0.06,2.4,2.4,Match Report,3,0,0,0,1.5,-1.5,0,0,0,1,3,33.3,2,15,21.6,9,0,0,3,28,10,7,70,0,2.5,-0.5,0,0,0,6,22,27.3,3,81,49.4,30,1,3.3,0,4.3,11633,3359,2,1.3,1.3,16,59,13,5,65,3302,1469,2,0.5,0.5,7,12,2,0,22,809,45,0,2,37,18,9,4,5,0,0,13,237,45,1,3,14,16,3,1,1,1,1,8,42,38,0,1,1,0,5,14,10,1,2,0,0,4,12,9,3,8,1,33.3,10,7,9,21,12,1,9,4,6,2,1,58.3,5,11,13,22,40,0,75,960,44,36,5,41.7,7,58.3,647,40,9,21,2,733,64,25,415,76,11,10,66.7,5,33.3,139,15,4,19,7,182,21,3,0,0,16,0,0,0,52,17,60.7,1,0,0,8,0,0,0,48,11,39.3,2,0.6,75,,Thiago Silva,4-2-3-1,Jonathan Moss,Match Report,,Chelsea,2020-2021,
4,29/09/2020,19:45,EFL Cup,Fourth round,Tue,Away,D,1 (4),1 (5),Tottenham,1,7,3,42.9,0.14,0.33,,,0,0,,,,,,Match Report,29/09/2020,19:45,EFL Cup,Fourth round,Tue,Home,D,1 (5),1 (4),Tottenham,1,11,3,27.3,0.09,0.33,,,0,0,,,,,,Match Report,3,2,66.7,0,,,0,0,0,,,,,,,,,,,,3,2,66.7,0,,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,14,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,5,0,,,,8,,,,,,,16,0,,,63,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,2,0,0,14,,,0,,,,2,0,0,11,,,0,,,,,,63,,César Azpilicueta,4-2-3-1,Lee Mason,Match Report,Tottenham won on penalty kicks following extra time,Chelsea,2020-2021,
5,3/10/2020,12:30,Premier League,Matchweek 4,Sat,Home,W,4,0,Crystal Palace,4,15,4,26.7,0.13,0.5,17.2,0,2,2,2.7,1.1,0.07,1.3,0.9,Match Report,3/10/2020,12:30,Premier League,Matchweek 4,Sat,Away,L,0,4,Crystal Palace,0,4,0,0,0,,22.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,0,0,,1,0,0,0,0,0,2,4,50,2,20,25.4,13,0,0,1,11,6,2,66.7,0,2.5,-1.5,2,0,0,2,17,11.8,3,60,40.4,17,0,0,0,,11646,3218,1,1,0.8,13,56,7,3,52,3699,1509,0,0.2,0.4,4,18,5,1,27,707,43,2,6,23,18,8,5,2,0,1,10,265,62,0,1,18,26,5,4,0,0,0,6,31,23,3,2,2,0,6,7,6,0,1,0,0,0,14,5,7,6,1,25,9,5,13,27,16,0,10,7,6,2,2,54.5,5,6,9,19,19,0,70,853,64,17,5,45.5,6,54.5,449,15,0,18,4,658,51,30,422,49,12,9,75,3,25,246,5,1,16,11,232,26,2,0,0,17,2,0,0,38,16,64,0,0,0,13,0,2,0,33,9,36,2.7,0.2,70,,César Azpilicueta,4-2-3-1,Michael Oliver,Match Report,,Chelsea,2020-2021,
6,17/10/2020,15:00,Premier League,Matchweek 5,Sat,Home,D,3,3,Southampton,3,11,5,45.5,0.27,0.6,11.3,0,0,0,1.8,1.8,0.16,1.2,1.2,Match Report,17/10/2020,15:00,Premier League,Matchweek 5,Sat,Away,D,3,3,Southampton,3,13,6,46.2,0.23,0.5,17.1,0,0,0,1.9,1.9,0.14,1.1,1.1,Match Report,6,3,50,0,2.7,-0.3,0,0,0,3,6,50,6,14.3,27.6,11,1,9.1,0,8.4,5,2,40,0,2,-1,0,0,0,4,18,22.2,2,37.5,32.3,11,1,9.1,0,8,8299,2802,2,0.8,0.7,9,22,15,2,37,7035,2175,2,1.1,0.5,8,31,4,0,39,565,50,1,2,13,22,6,3,3,0,3,11,491,58,1,4,13,31,2,1,1,0,1,13,21,15,3,2,0,0,5,20,15,0,1,2,1,2,16,7,6,9,1,50,9,12,7,23,28,2,13,5,3,8,2,50,7,11,7,20,8,0,53,751,76,28,7,50,7,50,461,17,4,30,6,495,36,47,657,61,19,9,50,9,50,296,12,4,17,7,403,38,1,0,0,11,0,0,0,56,25,73.5,1,0,0,9,0,0,0,60,9,26.5,1.8,1.9,53,,César Azpilicueta,4-2-3-1,Peter Bankes,Match Report,,Chelsea,2020-2021,
7,20/10/2020,20:00,Champions Lg,Group stage,Tue,Home,D,0,0,es Sevilla,0,6,4,66.7,0,0,15.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report,20/10/2020,20:00,Champions Lg,Group stage,Tue,Away,D,0,0,es Sevilla,0,5,2,40,0,0,12.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2,2,100,1,0.2,0.2,0,0,0,3,15,20,4,35.7,36.1,15,0,0,0,,4,4,100,1,0.7,0.7,0,0,0,6,12,50,3,24.2,28.5,9,0,0,2,30.5,6406,2302,0,0.3,0.5,5,25,2,1,34,9524,2791,0,0.2,0.4,4,32,5,1,37,468,36,1,0,11,15,2,1,1,0,1,10,591,50,0,20,24,27,5,2,2,0,1,15,9,7,2,0,0,0,0,10,4,5,0,1,0,0,23,14,13,7,3,55.6,8,12,10,33,19,0,13,7,7,4,2,36.4,7,10,10,23,7,0,44,618,59,16,7,63.6,4,36.4,389,14,7,26,9,397,34,56,735,55,19,8,44.4,10,55.6,388,12,3,8,13,514,37,3,0,0,12,0,0,0,55,14,43.8,2,0,0,9,0,0,0,58,18,56.3,0.4,0.2,44,,Jorginho,4-2-3-1,Davide Massa,Match Report,,Chelsea,2020-2021,
8,24/10/2020,17:30,Premier League,Matchweek 6,Sat,Away,D,0,0,Manchester Utd,0,6,1,16.7,0,0,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,24/10/2020,17:30,Premier League,Matchweek 6,Sat,Home,D,0,0,Manchester Utd,0,14,4,28.6,0,0,17.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,4,4,100,1,0.8,0.8,0,0,0,2,6,33.3,2,21.7,25,14,0,0,0,15,1,1,100,1,0,0,0,0,0,1,8,12.5,5,33.3,30.8,15,0,0,0,,9009,2616,0,0.1,0.2,4,22,4,1,31,8017,2141,0,0.6,0.6,12,34,6,1,35,582,38,0,3,19,17,6,2,3,0,0,17,585,48,0,3,20,26,9,1,4,2,2,18,10,9,1,0,0,0,0,27,24,2,0,0,0,0,17,12,10,5,2,50,8,17,13,30,25,1,13,7,4,7,2,62.5,6,14,12,25,23,1,49,753,76,11,6,37.5,10,62.5,328,18,5,13,3,497,31,51,750,60,20,8,50,8,50,379,24,4,13,9,513,35,1,0,0,6,0,0,0,58,7,38.9,3,0,0,8,0,0,0,52,11,61.1,0.2,0.6,49,,César Azpilicueta,3/04/2003,Martin Atkinson,Match Report,,Chelsea,2020-2021,
9,28/10/2020,20:55,Champions Lg,Group stage,Wed,Away,W,4,0,ru Krasnodar,4,14,6,42.9,0.21,0.5,16.1,0,1,2,2.4,0.8,0.06,1.6,2.2,Match Report,28/10/2020,20:55,Champions Lg,Group stage,Wed,Home,L,0,4,ru Krasnodar,0,13,4,30.8,0,0,19.9,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,4,4,100,1,0.7,0.7,0,0,0,4,11,36.4,5,19,26.6,10,1,10,2,16.8,7,3,57.1,0,2.3,-1.7,1,0,1,5,17,29.4,4,65,45.9,11,0,0,0,3,10653,3244,3,0.6,0.7,8,25,15,1,56,3438,1315,0,0.4,0.3,7,16,5,1,23,680,50,0,5,14,26,4,2,1,0,3,9,261,51,0,1,14,21,6,0,3,0,2,4,25,18,0,3,1,0,7,23,11,2,4,2,1,0,14,9,5,8,1,28.6,15,3,5,19,21,1,10,6,4,5,1,31.6,13,7,15,25,21,1,70,842,93,27,13,68.4,6,31.6,580,20,7,20,4,632,55,30,421,61,14,15,71.4,6,28.6,206,19,3,16,8,207,22,0,0,0,12,1,0,0,43,17,54.8,2,0,0,12,0,2,0,49,14,45.2,2.4,0.6,70,10544,César Azpilicueta,4/03/2003,Ali Palabıyık,Match Report,,Chelsea,2020-2021,
