,Day,Date,team,team_opp,season,score,score_opp,home,result,Squad,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,Gls90,Ast90,G+A90,G-PK90,G+A-PK,Min%,Subs,Mn/Sub,PPM,onG,onGA,+/-,# Pl,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,SoT,SoT/90,G/SoT,Fls,Squad_opp,# Pl_opp,Age_opp,MP_opp,Starts_opp,Gls_opp,Ast_opp,G+A_opp,G-PK_opp,PK_opp,PKatt_opp,Gls90_opp,Ast90_opp,G+A90_opp,G-PK90_opp,G+A-PK_opp,season_opp,Min%_opp,Subs_opp,Mn/Sub_opp,PPM_opp,onG_opp,onGA_opp,+/-_opp,# Pl_opp,Min_opp,GA_opp,GA90_opp,SoTA_opp,Saves_opp,Save%_opp,W_opp,D_opp,L_opp,CS_opp,CS%_opp,SoT_opp,SoT/90_opp,G/SoT_opp,Fls_opp
0,Tue,2010-09-14,Lyon,Schalke 04,2010,1,0,1,1,Lyon,20,25.5,8,88,12,8,20,11,1,1,1.5,1.0,2.5,1.37,2.37,100,24,0,1.38,12,14,-2,1,720,14,1.75,44,30,68.2,3,2,3,2,25.0,44,5.5,0.25,105,Schalke 04,27,25.2,12,132,21,15,36,21,0,0,1.75,1.25,3.0,1.75,3.0,2010,100,36,0,1.58,22,14,8,1,1080,14,1.17,64,50,78.1,5,4,3,3,25.0,65,5.42,0.32,195
1,Tue,2010-09-14,Panathinaikos,Barcelona,2010,1,5,0,0,Panathinaikos,21,28.2,6,66,2,2,4,2,0,0,0.33,0.33,0.67,0.33,0.67,100,18,0,0.33,2,13,-11,1,540,13,2.17,40,27,67.5,0,2,4,2,33.3,16,2.67,0.13,81,Barcelona,25,26.6,13,143,30,24,54,28,2,3,2.31,1.85,4.15,2.15,4.0,2010,100,33,0,2.15,30,9,21,2,1170,9,0.69,37,28,75.7,8,4,1,5,38.5,98,7.54,0.29,134
2,Tue,2010-09-14,Rubin Kazan,FC Copenhagen,2010,0,1,0,0,Rubin Kazan,20,26.8,6,66,2,0,2,0,2,2,0.33,0.0,0.33,0.0,0.0,100,18,0,1.0,2,4,-2,1,540,4,0.67,18,14,77.8,1,3,2,3,50.0,21,3.5,0.0,91,FC Copenhagen,19,26.6,12,88,6,3,9,5,1,1,0.5,0.25,0.75,0.42,0.67,2010,100,21,0,1.17,12,11,1,1,720,7,0.87,40,33,82.5,3,5,4,3,25.0,21,1.75,0.24,114
3,Tue,2010-09-14,Schalke 04,Lyon,2010,0,1,0,0,Schalke 04,27,25.2,12,132,21,15,36,21,0,0,1.75,1.25,3.0,1.75,3.0,100,36,0,1.58,22,14,8,1,1080,14,1.17,64,50,78.1,5,4,3,3,25.0,65,5.42,0.32,195,Lyon,20,25.5,8,88,12,8,20,11,1,1,1.5,1.0,2.5,1.37,2.37,2010,100,24,0,1.38,12,14,-2,1,720,14,1.75,44,30,68.2,3,2,3,2,25.0,44,5.5,0.25,105
4,Tue,2010-09-14,Hapoel Tel Aviv,Benfica,2010,0,2,0,0,Hapoel Tel Aviv,19,25.9,12,66,7,5,12,6,1,1,0.58,0.42,1.0,0.5,0.92,100,18,0,1.33,20,15,5,1,540,10,1.67,49,39,79.6,4,4,4,2,16.7,28,2.33,0.21,76,Benfica,19,25.6,6,66,7,6,13,7,0,0,1.17,1.0,2.17,1.17,2.17,2010,100,18,0,1.0,7,12,-5,1,540,12,2.0,24,12,50.0,2,0,4,1,16.7,28,4.67,0.25,102
5,Tue,2010-09-14,Valencia,Bursaspor,2010,4,0,0,1,Valencia,26,27.6,8,88,16,10,26,15,1,1,2.0,1.25,3.25,1.87,3.12,100,24,0,1.5,17,8,9,3,720,8,1.0,40,32,80.0,3,3,2,2,25.0,57,7.12,0.26,110,Bursaspor,21,28.0,6,66,2,2,4,2,0,0,0.33,0.33,0.67,0.33,0.67,2010,100,18,0,0.17,2,16,-14,2,540,16,2.67,36,20,55.6,0,1,5,0,0.0,20,3.33,0.1,76
6,Tue,2010-09-14,Rangers,Manchester Utd,2010,0,0,0,2,Rangers,19,28.0,6,66,3,3,6,3,0,0,0.5,0.5,1.0,0.5,1.0,100,9,0,1.0,3,6,-3,1,540,6,1.0,36,30,83.3,1,3,2,2,33.3,16,2.67,0.19,64,Manchester Utd,28,27.7,13,143,18,16,34,17,1,1,1.38,1.23,2.62,1.31,2.54,2010,100,33,0,1.85,19,7,12,3,1170,7,0.54,55,48,87.3,6,6,1,8,61.5,68,5.23,0.25,166
7,Tue,2010-09-14,Tottenham,Werder Bremen,2010,2,2,0,2,Tottenham,25,26.6,12,110,17,13,30,15,2,4,1.42,1.08,2.5,1.25,2.33,100,28,0,1.42,25,19,6,2,900,16,1.6,59,43,72.9,4,5,3,3,25.0,45,3.75,0.33,120,Werder Bremen,22,25.9,8,66,6,6,12,6,0,0,0.75,0.75,1.5,0.75,1.5,2010,100,16,0,1.0,11,16,-5,2,540,12,2.0,33,21,63.6,2,2,4,1,12.5,32,4.0,0.19,87
8,Tue,2010-09-14,Inter,Twente,2010,2,2,0,2,Inter,29,29.0,10,110,18,14,32,17,1,1,1.8,1.4,3.2,1.7,3.1,100,26,0,1.3,18,21,-3,3,900,21,2.1,54,33,61.1,4,1,5,2,20.0,54,5.4,0.31,101,Twente,21,24.9,6,66,8,2,10,7,1,1,1.33,0.33,1.67,1.17,1.5,2010,100,12,0,1.0,9,11,-2,2,540,11,1.83,39,28,71.8,1,3,2,1,16.7,32,5.33,0.22,102
9,Tue,2010-09-14,Bursaspor,Valencia,2010,0,4,1,0,Bursaspor,21,28.0,6,66,2,2,4,2,0,0,0.33,0.33,0.67,0.33,0.67,100,18,0,0.17,2,16,-14,2,540,16,2.67,36,20,55.6,0,1,5,0,0.0,20,3.33,0.1,76,Valencia,26,27.6,8,88,16,10,26,15,1,1,2.0,1.25,3.25,1.87,3.12,2010,100,24,0,1.5,17,8,9,3,720,8,1.0,40,32,80.0,3,3,2,2,25.0,57,7.12,0.26,110
